CRASH_EVENT_ID	CRASH_ID	SEQ_NO	EVENT_ID	EVENT_OTHER_DESC
6276236	3756516	2	1	
6276237	3756516	3	18	
6276238	3756517	1	1	
6276239	3756517	2	98	Loss of traction/Pre
6276240	3756517	3	1	
6276241	3756517	4	3	
6276242	3756518	1	13	
6276243	3756519	1	13	
6276244	3756520	1	98	Other/Pre-crash
6276245	3756520	2	1	
6276246	3756520	3	18	
6276247	3756521	1	13	
6276248	3756522	1	13	
6276249	3756523	1	13	
6276257	3737760	1	98	Trailer fishtail or sway/Pre
6276258	3737760	2	13	
6276259	3737760	3	18	
6276260	3741958	1	13	
6276261	3743329	1	13	
6276262	3743329	2	13	
6276263	3743329	3	13	
6276264	3755196	1	13	
6276265	3755198	1	13	
6276266	3758027	1	13	
6276267	3758028	1	13	
6276268	3758029	1	1	
6276269	3758029	2	3	
6276270	3758030	1	13	
6275770	3757748	1	13	
6275771	3757749	1	13	
6275772	3757750	1	18	
6275773	3757751	1	18	
6275774	3757751	2	3	
6275775	3757752	1	13	
6275776	3757753	1	13	
